so_luot_yeu_thich,so_luot_danh_gia,so_luong_ban,ten_nguoi_ban,diem_danh_gia,nganh_hang
408.0,2500.0,2500.0,jomgadget2021,4.9,Shopee | Mobile & Accessories | Screen Protectors | Android Screen Protectors
278.0,1700.0,1700.0,wcgadgetworld,4.8,Shopee | Mobile & Accessories | Screen Protectors | Android Screen Protectors
3.0,70.0,70.0,teranet118,4.8,Shopee | Tickets & Vouchers | Services | Others
642.0,192.0,192.0,icewatch.os,5.0,Shopee | Watches | Women's Watches | Women's Business
170.0,445.0,445.0,3helectrical,4.8,Shopee | Home & Living | Lighting | Light Bulbs
118.0,376.0,376.0,ladygadget,4.9,Shopee | Automotive | Motor Accessories | Phone Holders
102.0,132.0,132.0,shauqishop33,4.9,Shopee | Automotive | Motor Accessories | Others
53.0,418.0,418.0,leecomoto,4.9,Shopee | Automotive | Motor Accessories | Others
10.0,49.0,49.0,icontech,5.0,Shopee | Computer & Accessories | Others | Others
1400.0,1600.0,1600.0,myeasymart,4.9,Shopee | Cameras & Drones | Security Cameras & Systems | CCTV & IP Cameras
2200.0,2100.0,2100.0,watsons.my,5.0,Shopee | Health & Beauty | Sun Care | Body Sunscreen & After Sun
2000.0,897.0,897.0,wortheemall,5.0,Shopee | Health & Beauty | Skincare | Face Mask & Packs
10.0,22.0,22.0,elf_sack,5.0,Shopee | Health & Beauty | Sun Care | Body Sunscreen & After Sun
1900.0,10100.0,10100.0,epanda,4.9,Shopee | Home & Living | Handmade | Gift Wrapping
375.0,1400.0,1400.0,penguinnt,4.9,Shopee | Computer & Accessories | Others | Others
30.0,284.0,284.0,topone.st,5.0,Shopee | Health & Beauty | Personal Pleasure | Condoms & Lubricants
1100.0,309.0,309.0,rora_shoppe,4.9,Shopee | Home & Living | Kitchen & Dining | Bakeware
1.0,1.0,1.0,oh.yummy,5.0,Shopee | Groceries & Pets | Fresh & Frozen Food | Frozen Processed Food
11300.0,9100.0,9100.0,srihome.os,4.9,Shopee | Cameras & Drones | Security Cameras & Systems | CCTV & IP Cameras
2.0,6.0,6.0,megakulim,5.0,Shopee | Health & Beauty | OTC Medicine | Others
2500.0,7200.0,7200.0,md.megadeal,4.9,Shopee | Women Clothes | Lingerie & Underwear | Bra
9200.0,6400.0,6400.0,distrifactory,5.0,Shopee | Home & Living | Housekeeping & Laundry | Clothes Hanger & Drying Racks
118.0,626.0,626.0,let.os,5.0,Shopee | Mobile & Accessories | Cables & Chargers | Others
2300.0,2400.0,2400.0,allblue5367,4.9,Shopee | Computer & Accessories | Storage & Hard Drives | USB Devices
591.0,706.0,706.0,cerealsproject,4.9,Shopee | Home & Living | Stationery | Letters & Envelopes
3100.0,1500.0,1500.0,popcornmama,5.0,Shopee | Groceries & Pets | Snacks | Popcorn
64.0,155.0,155.0,menns131419,5.0,Shopee | Home Appliances | TV Accessories | Others
6500.0,43900.0,43900.0,bayuocean,4.9,Shopee | Groceries & Pets | Cooking Ingredients | Dried Food
220.0,121.0,121.0,umi.os,4.7,Shopee | Women Shoes | Heels | Heels
209.0,141.0,141.0,dropassist.co,4.8,Shopee | Women's Bags | Waist Bags | Waist Bags
12300.0,6900.0,6900.0,_goodlucky_,4.8,Shopee | Home & Living | Bath | Bathroom Storage & Shelves
7500.0,13200.0,13200.0,rightway.os,4.9,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
962.0,324.0,324.0,hongyong.my,4.6,Shopee | Men Clothes | Traditional Wear | Tops
28.0,86.0,86.0,fixguru,4.9,Shopee | Home & Living | Handmade | Others
5000.0,20200.0,20200.0,jaricantik,5.0,Shopee | Health & Beauty | Pedicure & Manicure | Others
4.0,24.0,24.0,yqk2767htc,4.9,Shopee | Health & Beauty | Personal Pleasure | Condoms & Lubricants
5.0,35.0,35.0,gjw0426.my,4.9,Shopee | Sports & Outdoor | Fishing | Lines
4100.0,459.0,459.0,mylotrading,4.9,Shopee | Cameras & Drones | Instant Cameras | Instant Cameras
357.0,356.0,356.0,dreamtale__,4.9,Shopee | Women's Bags | Waist Bags | Waist Bags
780.0,3100.0,3100.0,momohouse.os,4.9,Shopee | Home & Living | Bath | Others
14800.0,16600.0,16600.0,kingstyle.co,4.9,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
885.0,149.0,149.0,toddlerclothes.my,4.8,Shopee | Baby & Toys | Baby Clothing | Baby Dress
6100.0,9900.0,9900.0,northharbour.os,4.9,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
4000.0,6700.0,6700.0,ovtravel,4.8,Shopee | Sports & Outdoor | Exercise & Fitness Equipment | Accessories
517.0,2900.0,2900.0,million_fishing_tackle,5.0,"Shopee | Sports & Outdoor | Fishing | Baits, Lures & Flies"
2.0,21.0,21.0,williamyenhue,4.9,Shopee | Sports & Outdoor | Fishing | Others
42.0,98.0,98.0,mohammadmd587,4.8,Shopee | Women Clothes | Set Wear | Family Set
880.0,4000.0,4000.0,v2optical,4.9,Shopee | Health & Beauty | Pedicure & Manicure | Nail Care Tools
727.0,2600.0,2600.0,great.collection,5.0,"Shopee | Groceries & Pets | Cooking Ingredients | Salt, Sugar & Seasonings"
497.0,832.0,832.0,ninja22store,4.5,"Shopee | Groceries & Pets | Cereals | Cereal, Oats, Granola & Muesli"
10.0,25.0,25.0,aviodigital,5.0,Shopee | Mobile & Accessories | Cables & Chargers | Others
1400.0,203.0,203.0,teemo.my,5.0,Shopee | Baby & Toys | Baby Gear | Strollers
1800.0,3200.0,3200.0,azkidswear,4.9,Shopee | Baby & Toys | Boys Fashion | Boy Bottoms
288.0,2200.0,2200.0,samswift,5.0,Shopee | Groceries & Pets | Cooking Ingredients | Others
424.0,2200.0,2200.0,rwsofficialstore,4.9,Shopee | Groceries & Pets | Household Supplies | Facial Tissues
8700.0,301.0,301.0,aurorahijab21av.my,4.6,Shopee | Women Clothes | Dresses | Maxi Dresses
1200.0,3000.0,3000.0,asmariyapermatastore,4.9,Shopee | Home Appliances | Washers & Dryers | Washers & Dryers Accessories
443.0,770.0,770.0,v2optical,4.8,Shopee | Home Appliances | TV Accessories | TV Wall Mount & Brackets
543.0,435.0,435.0,teow123,4.8,Shopee | Automotive | Motor Accessories | Seats & Seat Covers
281.0,770.0,770.0,96vision,4.9,Shopee | Fashion Accessories | Eyewear | Eyeglasses
63.0,112.0,112.0,giantech.os,4.9,Shopee | Home Appliances | Landline Phones | Cordless Phone
18400.0,30600.0,30600.0,mekperfume,4.9,Shopee | Health & Beauty | Fragrances | For Her
56.0,374.0,374.0,bbhstore,4.9,Shopee | Health & Beauty | Others | Others
3300.0,9700.0,9700.0,v2optical,4.9,"Shopee | Home & Living | Bath | Mats, Towels & Robes"
3.0,3.0,3.0,coolstore64,5.0,Shopee | Computer & Accessories | Others | Others
1600.0,4100.0,4100.0,rrbizempire,4.9,Shopee | Health & Beauty | Pedicure & Manicure | Others
550.0,1800.0,1800.0,brother_lighting,4.8,Shopee | Home & Living | Lighting | Light Bulbs
